Date,Value
"Jan 1, 2007",17.36
"Dec 1, 2006",17.38
"Nov 1, 2006",17.24
"Oct 1, 2006",17.14
"Sep 1, 2006",16.77
"Aug 1, 2006",16.67
"Jul 1, 2006",16.61
"Jun 1, 2006",16.82
"May 1, 2006",17.46
"Apr 1, 2006",17.77
"Mar 1, 2006",17.8
"Feb 1, 2006",17.8
"Jan 1, 2006",18.07
"Dec 1, 2005",18.07
"Nov 1, 2005",18.01
"Oct 1, 2005",17.64
"Sep 1, 2005",18.44
"Aug 1, 2005",18.72
"Jul 1, 2005",19.0
"Jun 1, 2005",19.0
"May 1, 2005",18.93
"Apr 1, 2005",19.02
"Mar 1, 2005",19.84
"Feb 1, 2005",20.11
"Jan 1, 2005",19.99
"Dec 1, 2004",20.48
"Nov 1, 2004",20.05
"Oct 1, 2004",19.25
"Sep 1, 2004",19.35
"Aug 1, 2004",19.03
"Jul 1, 2004",19.51
"Jun 1, 2004",20.17
"May 1, 2004",20.14
"Apr 1, 2004",21.23
"Mar 1, 2004",21.61
"Feb 1, 2004",22.46
"Jan 1, 2004",22.73
"Dec 1, 2003",22.17
"Nov 1, 2003",23.15
"Oct 1, 2003",24.75
"Sep 1, 2003",26.42
"Aug 1, 2003",26.57
"Jul 1, 2003",27.65
"Jun 1, 2003",28.6
"May 1, 2003",28.24
"Apr 1, 2003",28.05
"Mar 1, 2003",27.92
"Feb 1, 2003",28.46
"Jan 1, 2003",31.43
"Dec 1, 2002",32.59
"Nov 1, 2002",32.03
"Oct 1, 2002",29.24
"Sep 1, 2002",28.89
"Aug 1, 2002",31.53
"Jul 1, 2002",32.46
"Jun 1, 2002",37.92
"May 1, 2002",41.41
"Apr 1, 2002",43.81
"Mar 1, 2002",46.71
"Feb 1, 2002",44.57
"Jan 1, 2002",46.17
"Dec 1, 2001",46.37
"Nov 1, 2001",43.62
"Oct 1, 2001",39.72
"Sep 1, 2001",36.9
"Aug 1, 2001",37.85
"Jul 1, 2001",35.46
"Jun 1, 2001",33.67
"May 1, 2001",32.02
"Apr 1, 2001",27.96
"Mar 1, 2001",26.1
"Feb 1, 2001",27.81
"Jan 1, 2001",27.55
"Dec 1, 2000",26.62
"Nov 1, 2000",26.9
"Oct 1, 2000",26.5
"Sep 1, 2000",27.34
"Aug 1, 2000",27.97
"Jul 1, 2000",28.05
"Jun 1, 2000",28.16
"May 1, 2000",27.49
"Apr 1, 2000",28.5
"Mar 1, 2000",28.31
"Feb 1, 2000",27.76
"Jan 1, 2000",29.04
